Pregunta,Respuesta,Etiqueta
"Qué ubicación busca el profesor Van Helsing?","El Profesor Van Helsing busca la capilla para realizar un rito de purificación con las reliquias de la Sagrada Hostia que ha llevado para proteger a los hombres del Conde Drácula.","Capilla"
"Qué olor encontraron en el castillo?","El castillo tenía un olor estancado y maloliente, que olía a tierra.","Olfacto"
"Dónde estaba el Conde Drácula al momento de la entrada en el castillo?","El conde no se encontraba en los lugares habitados del castillo, sino en un edificio en ruinas que estaba expuesto a las inclemencias del clima, donde penetraba el aire libre.","Ubicación Conde"
"Qué sensación causó el olor encontrado en la habitación donde el Conde Drácula se encontraba?","El olor era tan repugnante que podría haber terminado su misión si no hubieran estado empeñados en llevarla a cabo.","Olfacto/Reacción"
"¿Qué tarea estaban haciendo en el castillo?","La investigación continuaba y cada uno estaba trabajando con esfuerzo, como si el castillo era un jardín de rosas.","Tareas"
"¿Qué número de cajas quedaba para examinar en el castillo?","Sólo quedaban 29 cajas.","Número cajas"
"¿Qué sospechaban los investigadores al entrar en el castillo?","Sus sospechosos estaban relacionados con el Conde Drácula y lo que había sucedido con las otras 21 cajas.","Motivos/Expectativas"
"¿Qué animal encontraron en el pasadizo del castillo?","Se encontró una multitud de ratas.","Animales"
"¿En qué instancia se sospecha que Drácula haya estado presente?","Se sospechaba su presencia debido a la masa fosforescente que se parecía a las estrellas que había visto Morris.","Presencia Suspechada"
"¿Qué animales llegaron para ayudar en la investigación?","Arrieron tres terriers a la escena para contener las ratas.","Perros/Animales"
"¿Qué ocurrencia significó el aumento de la presencia de ratas después del abrirse la puerta?","El número de las ratas había aumentado mucho, lo que indicaba un movimiento rápido de más ratas a escondidas.","Animales/Significado"
"¿Qué ocurrió cuando el Dr. Seward abrió la puerta?","Se encontraron un gran número de ratas que rápidamente fueron derrotadas por los perros.","Ratas/Perros"
"¿Qué significado tiene la desaparición de las ratas?","Su desaparición implicaba que había dejado el castillo una fuerza diabólica o que ese era solo un elemento del castillo, no parte de Drácula.","Significado/Desaparición"
"Qué sucedió después de que Jonathan Harker abriera la puerta del castillo?","Después de que Jonathan Harker abrió la puerta del castillo, se despejó el miedo y comenzó a registrar la casa, encontrando solo polvo. Los perros no mostraron ningún signo de temor durante este proceso.","Pos-puerta"
"Qué cosas se han descubierto durante el primer día de investigación en la mansión del Conde Drácula?","Se ha descubierto que hay un número específico de cajas perdidas y se ha tenido éxito sin daño durante este día, al igual que Mina no hubo que acompañar en el proceso. También se ha aprendido una lección.","Descubrimientos/Experiencia"
"Qué se ha descubierto sobre los animales domésticos alrededor del castillo?","Se han descubierto que las ratas no están controladas por el Conde Drácula, ya que solo respondieron a su llamado y huyeron ante los perritos. Esta noche se les dio una oportunidad de derrotarlo en la batalla mental.","Animales/Castillo"
"Qué pasó en la mansión el primer día?","Se descubrieron varias cosas el primer día de investigación: se recuperaron todas las cajas que habían desaparecido, y Mina no tuvo que involucrarse ni tener que presenciar nada que pudo afectarla. Se aprendió una lección sobre los animales domésticos de Drácula y se derrotó al conde en esta batalla mental.","Primer día/Resolución"
"Qué hay en lo que sigue para los protagonistas?","Esperan que tengan que seguir trabajando duramente contra el conde durante un largo periodo de tiempo. Están dispuestos a mantener la confianza y guardar el silencio hasta que puedan anunciarle a Mina que todo ha concluido.","Prospectiva futura"
"Qué ocurre en el siguiente día?","El día siguiente se sienta más cansado y lleno de trabajo que el anterior, ya que hay muchas cosas por resolver. Se buscarán a las 21 cajas perdidas. El doctor Seward informará a Van Helsing sobre Renfield.", "Segundo día"
"¿Qué revela el Drácula sobre sus creencias anteriores en su diario?","Anteriormente, el Drácula tenía creencias sobre el consumo de animales vivos, pero ahora ha cambiado.","Creencias"
"Qué creencias antiguas mantiene el Drácula acerca de su dieta?","Anteriormente, el Drácula tenía creencias sobre el consumo de animales vivos.","Dieta"
"¿Qué reacción muestra el Drácula ante las teorías psicológicas de Van Helsing?","El Drácula se niega a reconocerse y permanece indiferente hacia las teorías psicológicas de Van Helsing.","Respuesta al psicoanálisis"
"Qué razones presenta Quincey para salir y investigar sobre las desapariciones de los envíos?","Quincey sale para encontrar todas las pistas sobre el misterio de las cajas desaparecidas.","Investigación"
"Qué sentimiento sufre Mina al saber que su marido oculta algo?","Mina se siente mal por el secreto de Jonathan sobre lo que pasó en la casa del Conde Drácula.","Sentimientos"
"Qué pensamientos tienen los personajes sobre sus acciones?","Los personajes se preguntan por las consecuencias de sus acciones y creen que la mayoría lleva a un resultado triste.","Pensamientos/Acciones"
"Qué sucesa en el dormitorio de Lucy para provocar que Mina se quede dormida?","El estridente sonido de las oraciones del Señor Renfield y los ladridos de los perros que guardan la puerta de la habitación provocan que Mina se queda dormida.","Suceso"
"Qué creía Mina cuando vió la niebla aterrizar en las paredes de la casa?","Mina se sorprendió al ver la niebla aterrizar en las paredes y creyó que estaba entrando en la casa.","Creencia errada"
"Cómo se describe a Mina al despertar?","Mina se siente ansiosa por Jonathan y está dormida, esperando su regreso.","Descripción del personaje"
"Qué sucede cuando Mina se despierta y descubre la niebla en su dormitorio?","Mina se despierta para descubrir que la habitación está llena de niebla.","Suceso sorpresa"
"Qué visión interpreta Mina al ver una columna de vapor en su dormitorio?","Mina se despertó para observar una columna de vapor en la habitación. Ella interpreta esto como si fuera un guía espiritual que está dividido entre el día y la noche.","Interpretación"
"Qué visiones horrorosas aparecen en el sueño de Mina?","En su sueño, Mina ve a las mujeres que se materializaron para Lucy, así como al rostro lívido que se levanta de la niebla.","Visiones terroríficas"
"Qué pasa con el señor Renfield?","El señor Renfield sigue siendo un paciente de institucionalización y se le permite ver a la doctora Seward ocasionalmente.","Condición del Sr. Renfield"
"¿Cómo se reúnen Jonathan Harker y el Drácula en la mansión?","Jonathan y el Drácula se reúnen en la mansión de London, donde el Conde Drácula le espera con un ataque sorpresa para tomarle el control.","Encuentro entre Jonathan Harker y Drácula"
"Qué notas se hacen al respecto de las noches de insomnio de Mina y su necesidad de dormir?","Mina Harker tiene problemas con el sueño; no logra dormir durante muchas noches y requiere pastillas para dormir.","Insomnio"
"¿Qué actitud adopta la doctora Seward hacia las necesidades de Mina de ayuda?","La doctora Seward prepara pastillas para dormir a Mina para que pueda descansar, sin embargo, el Drácula interrumpe esos intentos."," Ayuda médica"
"¿Qué se descubre sobre Thomas Snelling?","Thomas Snelling era el sirviente de Smollet, pero su memoria fue alterada por la bebida cuando lo encontró Jonathan."," Sirviente"
"¿De qué persona se refiere el narrador al tipo honrado e inteligente y con una inteligencia y una?","Joseph Smollet, es un trabajador de confianza y tiene una inteligencia considerable.","Personajes menores"
"Qué se descubre sobre el conde Drácula y sus refugios?","El Conde Drácula ha depositado cajas en diferentes lugares de Londres con la intención de distribuirlas sistemáticamente.","Refugios"
"¿Qué información recibe el Drácula de Smollet?","Smollet le provee del saber sobre alguna caja que había sido sacada recientemente y su ubicación.", "Información al Conde Drácula"
"Qué información le da Jonathan al Drácula?","Jonathan le provee información sobre un posible lugar donde se encuentra una caja de Drácula.", "Información a Drácula"
"¿Qué estado se encuentra Mina al finalizar la primera sección del diario?","Mina está profundamente dormida pero tiene un aspecto demasiado pálido; le impresiona que ha estado llorando.","Estado de Mina"
"¿Qué información recibe Jonathan Harker en la carta de Sam?","Recibió la dirección de Korkrans, 4, Poters Cort, Bartel Street, Walworth para interrogar al algacil sobre el Conde Drácula.","Información"
"¿Qué dificultad encuentra Jonathan Harker en la dirección para buscar al algacil?","La ortografía de Potter's Court le hace preguntar por Poter's Court en lugar de Potter's Court.","Dificultades"
"¿Dónde trabaja el alguacil en Poplar?","En un nuevo edificio de almacenes refrigerados llamado Cross Angel Street.","Lugar de trabajo"
"¿Cuáles fueron las casas que visitó el alguacil Bloxam para sacar cajas?","El alguacil Bloxam hizo dos viajes a una casa en Piccadilly para sacar nueve grandes cajas. La casa estaba cerca de una gran iglesia blanca y era una vieja casona llena de polvo.","Lugares visitados"
"¿Qué dijo el alguacil sobre las casas en Piccadilly y Purfleet?","El alguacil Bloxam menciona que la casa de Piccadilly estaba llena de polvo y tenía un anciano esperándole, que le ayudó a descargar nueve cajas. También menciona que una mujer esperaba para él en la casa de Purfleet al momento de sacar las restantes cajas.","Casas visitadas"
"¿Qué elementos se destacan de la descripción del vestíbulo?","La habitación era amplia y estaba vacía. Los cajas quedaron en ella durante la noche. El anciano no le dio claves al viajero.","Vestíbulo"
"¿En dónde finaliza el viaje de Jonathan Harker?","Jonathan Harker llega a la casa del Conde Drácula en Piccadilly.","Destino"
"¿Qué información obtuvo Jonathan Harker al mirar la casa desde el balcón superior?","Jonathan Harker vio que las tablas sueltas del anuncio y los soportes verticales estaban sobresaliendo detrás de la barandilla. Recuerda sus intentos de investigar la casa de Carfax, lo cual le hace pensar que puede encontrar alguna manera de entrar si localiza al antiguo propietario.","Balcón superior"
"¿De dónde obtiene Jonathan Harker información acerca de la casa desocupada?","Jonathan Harker pregunta a los criados en las caballerizas y un informante le da detalles acerca del nuevo propietario, Mitchell, Sons & Candy.","Detalles de Casa"
"¿Qué tipo de persona es el caballero al que Jonathan Harker se dirige?","El caballero a quien Jonathan Harker se dirige tiene modales suaves pero no es muy comunicativo. Se muestra reacio a revelar el nombre del nuevo propietario y parece ser un pedante de la peor especie.","Caballero"
"¿Qué persuade a caballero para darle la información solicitada?","Jonathan Harker menciona que él mismo es un profesional y lleva sus propias transacciones de bienes raíces. El caballero está impresionado por esto y promete buscar la información para entregarla a su cliente, señor Godalming.","Persuadir"
